id,Date&Time,text
1874779536040268252,2025-01-02T11:27:27.000Z,"COMING UP @ 5 PM | The Money Show

Tune in to ET NOW to learn strategies to adopt for high-risk investments with Mrin Agarwal of FinSafe India!
@SnehiShah11
 | 
@FinsafeIndia"
1874821149642932589,2025-01-02T14:12:49.000Z,SSC CAPF Constable GD exam dates 2025 out at http://ssc.gov.in; Check schedule
1874818773309657286,2025-01-02T14:03:22.000Z,"#NewsFatafat | Blinkit launches 10-minute ambulance service; CEO Albinder Dhindsa announces on X 

Initial rollout with five ambulances in Gurugram, aiming for nationwide expansion in two years

Blinkit app now offers a “Basic Life Support” ambulance booking option"
1874799059904631284,2025-01-02T12:45:02.000Z,NSO Results 2024-25: SOF Olympiad NSO Results 2024-25 OUT at http://results.sofworld.org; Direct link to download scorecard PDF
1874785166549463460,2025-01-02T11:49:50.000Z,Jai Corp: Shares crack 20% land parcel sale update – What's the Reliance Industries’ connection?
1874771623301251522,2025-01-02T10:56:01.000Z,IOC Q3 results FY25 date and time: PSU Indian Oil's quarterly earnings schedule out - Details
1874865162160906382,2025-01-02T17:07:42.000Z,"The Money Show | Navigating Market Volatility

Discover strategies for high-risk investments, smart asset allocation tips, and mastering long-term market challenges with financial educator and Finsafe founder, Mrin Agarwal
@SnehiShah11
 | 
@FinsafeIndia"
1874825845656981560,2025-01-02T14:31:28.000Z,"Budget 2025 expectations from agri sector: From loan packages to insurance scheme, what Annadata want?"
1874807422705094705,2025-01-02T13:18:16.000Z,"Startup Central | Latest startup headlines of the hour 

BMW, Yamaha Motor back Phoenix Tailings
Apple offers discounts in China as competition intensifies
Malaysia grants WeChat, TikTok licenses to operate
Bhuvnesh Kumar assumes charge as CEO of UIDAI
Xiaomi India"
1874782603083211022,2025-01-02T11:39:39.000Z,"#Exclusive | SEBI has not rolled back charges against Zee Ent, Punit Goenka, Subhash Chandra. #Sources inform 
@ankurmishrasays
 #SEBI #ZeeEnt #PunitGoenka #SubhashChandra"
1874772087682040063,2025-01-02T10:57:51.000Z,"#Exclusive | SEBI AO order in Zee matter is more procedural in nature, as another investigation is underway. #Sources inform 
@ankurmishrasays
 #SEBI #ZeeEnt #PunitGoenka #SubhashChandra"
1874864492808712324,2025-01-02T17:05:03.000Z,"The Money Show | Expert answers for your investment queries

Abhijit Chokshi of http://Stockifi.in shares the best solutions for your mutual fund portfolios
@SnehiShah11
  @stockifi_Invest"
1874863161498833059,2025-01-02T16:59:45.000Z,"#NewsAlert | SEBI uncovers a front-running scheme involving Ketan Parekh and Rohit Salgaocar. The regulator issues an interim order against 22 entities
@ankurmishrasays
 brings you the latest updates"
1874848126684832207,2025-01-02T16:00:01.000Z,"UGC NET Exam 2024 begins tomorrow; Check reporting time, essential and restricted items list"
1874807500597612576,2025-01-02T13:18:35.000Z,RailTel share price: PSU stock jumps 7% in 1 day; bags Rs 78.43 crore order
1874806625078579370,2025-01-02T13:15:06.000Z,"Budget Exclusive | Raman Aggarwal, Director of FIDC, shares key recommendations: diversify funding sources, establish a refinancing mechanism with SIDBI & NABARD, and reduce minimum ticket sizes for NBFCs

He also highlights concerns over higher lending costs and advocates for"
1874841739825135874,2025-01-02T15:34:38.000Z,"Business @ 9 | Dive into the world of business and stay updated on the key highlights of the day

Tune in to the show at 9 PM- https://etnownews.com/live-tv
@VikramOza"
1874831567732031865,2025-01-02T14:54:13.000Z,"Budget Exclusive | From treating FD interest separately from Income Tax to simplify KYC norms for NRIs 
@priyadarshi108
 has all the recommendations from the pre-budget meet. Listen In!"
1874787815915147327,2025-01-02T12:00:21.000Z,"COMING UP @ 6 PM | Startup Central 

#PiyushGoyal’s meet with EV cos, UPI transaction surge and Ola Electric’s sales dip. Don’t miss out!

Also, Yashish Dahiya of #PBFintech outlines co's growth strategy. Stay Tuned! 
@yashishdahiya
 @policybazaar
 @nikunjdalmia
  @SumitaKareer"
1874771723285041545,2025-01-02T10:56:25.000Z,ITC Hotels share price listing after demerger record date - Check expectation
1874815466566570162,2025-01-02T13:50:14.000Z,"#NewsAlert | Blinkit Ambulance Services: Blinkit app to offer option to book a “Basic Life Support” ambulance
@letsblinkit"
1874807301535871297,2025-01-02T13:17:47.000Z,Reliance Naval and Engineering: Name changed! Swan Energy shares update on acquisition
1874779522689847658,2025-01-02T11:27:24.000Z,"COMIG UP @ 5 PM | The Money Show

Tune in to ET NOW for expert tips on optimizing your #mutualfund portfolio with Abhijit Chokshi of http://Stockifi.in
@SnehiShah11
 | 
@stockifi_Invest"
1874848228719640716,2025-01-02T16:00:25.000Z,Zerodha's Nikhil Kamath's long-term business advice: 'Take inspiration from...look what kids are doing...'
1874830508993192434,2025-01-02T14:50:00.000Z,"SSC announces MTS Result 2024 at http://ssc.gov.in? Scorecard download link, login credentials"
1874812235689910519,2025-01-02T13:37:23.000Z,Reliance Jio Chairman Akash Ambani's new plan for Jamnagar - '...will place it amongst top rank...'
1874789083937132948,2025-01-02T12:05:24.000Z,"SEBI drops show cause notices against ZEEL, Subhash Chandra, Punit Goenka; investigation underway – Details"
1874795725726626040,2025-01-02T12:31:47.000Z,#MarketAlert | Check the #fundflow activity for 2nd Jan
1874828987761086623,2025-01-02T14:43:57.000Z,5x in 5 years: Maha CM Devendra Fadnavis' prediction for BSE 500 multibagger stock!
1874783298922426778,2025-01-02T11:42:24.000Z,Former CJI UU Lalit dubs idea of caste census as 'brilliant' | VIDEO
